id,tenant_id,task_id,author_id,content,created_at,updated_at,deleted_at
1,12,5,14,done,2025-12-22 10:42:45.106398+00:00,2025-12-22 10:42:45.106402+00:00,
2,12,5,14,hello,2025-12-22 11:00:54.613215+00:00,2025-12-22 11:00:54.613219+00:00,
3,12,5,14,its in progress,2025-12-22 11:29:37.111355+00:00,2025-12-22 11:29:37.111366+00:00,
4,12,6,14,going,2025-12-22 11:30:02.778579+00:00,2025-12-22 11:30:02.778582+00:00,
5,12,15,9,Task forwarded to user 14,2026-03-18 11:20:38.099917+00:00,2026-03-18 11:20:38.099927+00:00,
