id,code,name,price_monthly,price_yearly,max_companies,max_users,features,is_active,created_at,updated_at,menu_template_id
2,6,Basic,500.0,5000.0,4,2,,True,2025-11-19 11:03:53.262972+00:00,2025-11-19 11:03:53.262977+00:00,
3,7,Basic pans,500.0,5000.0,4,2,,True,2025-11-19 11:04:23.326573+00:00,2025-11-19 11:04:23.326578+00:00,
4,8,Basic pans,500.0,5000.0,4,2,,True,2025-11-19 11:06:04.529327+00:00,2025-11-19 11:06:04.529331+00:00,
1,5,PREMIUM,10000.0,100000.0,1,5,"template_id:13,template_id:11",True,2025-11-19 08:02:11.577617+00:00,2026-04-01 03:27:15.749374+00:00,11.0
