id,voucher_id,ledger_id,debit,credit,department_id,project_id,remarks,segment_id,employee_id
1204,461,107,0.0,850.0,,,,,
1205,461,100,0.0,110.5,,,,,
1206,461,277,500.0,0.0,,,,,
1207,461,276,0.0,500.0,,,,,
1214,463,274,1150.0,0.0,,,,,
1215,463,274,0.0,1150.0,,,,,
1216,463,5,1150.0,0.0,,,,,
1217,463,107,0.0,1150.0,,,,,
1218,463,277,500.0,0.0,,,,,
1219,463,276,0.0,500.0,,,,,
1222,465,645,89000.0,0.0,6.0,2.0,,,
1223,465,645,0.0,89000.0,6.0,2.0,,,
1224,465,96,89000.0,0.0,6.0,2.0,,,
1225,465,123,0.0,89000.0,6.0,2.0,,,
1232,467,114,5000.0,0.0,6.0,2.0,,,
1233,467,98,0.0,5000.0,6.0,2.0,,,
1236,469,668,2000.0,0.0,6.0,,cash deposit,,
1237,469,96,0.0,2000.0,6.0,,cas,,
1238,471,134,0.0,10000.0,,,,,
1239,471,133,10000.0,0.0,,,,,
1242,473,134,10000.0,0.0,,,,,
1244,474,134,100000.0,0.0,,,,,
1243,473,1045,0.0,10000.0,,,,,
1245,474,1045,0.0,100000.0,,,,,
1249,476,500,0.0,6780.0,,,,,
1250,476,276,6000.0,0.0,,,,,
1251,476,99,780.0,0.0,,,,,
1255,478,500,0.0,11300.0,,,,,
1256,478,276,10000.0,0.0,,,,,
1257,478,99,1300.0,0.0,,,,,
1261,480,274,0.0,0.0,,,,,
1262,480,274,0.0,0.0,,,,,
1263,480,96,0.0,0.0,,,,,
1264,481,500,0.0,27500.0,,,,,
1265,481,500,27500.0,0.0,,,,,
1266,481,96,0.0,27500.0,,,,,
1267,481,276,27500.0,0.0,,,,,
1271,483,274,960.5,0.0,,,,,
1272,483,107,0.0,850.0,,,,,
1273,483,100,0.0,110.5,,,,,
1274,483,277,500.0,0.0,,,,,
1275,483,276,0.0,500.0,,,,,
1278,485,500,0.0,7000.0,,,,,
1279,485,108,7000.0,0.0,,,,,
1283,487,500,0.0,500.0,,,,,
1284,487,108,500.0,0.0,,,,,
1287,489,500,0.0,500.0,,,,,
1288,489,108,500.0,0.0,,,,,
1293,492,500,0.0,7000.0,,,,,
1294,492,108,7000.0,0.0,,,,,
1297,494,274,960.5,0.0,,,,,
1298,494,107,0.0,850.0,,,,,
1299,494,100,0.0,110.5,,,,,
1300,494,277,500.0,0.0,,,,,
1301,494,276,0.0,500.0,,,,,
1305,496,737,0.0,200000.0,,,,,
1306,496,738,200000.0,0.0,,,,,
1310,498,1048,0.0,6112.0,,,,,
1311,498,108,5800.0,0.0,,,,,
1312,498,99,312.0,0.0,,,,,
1316,500,1048,0.0,452.0,,,,,
1317,500,108,400.0,0.0,,,,,
1318,500,99,52.0,0.0,,,,,
1322,502,1048,0.0,5575.0,,,,,
1323,502,105,0.0,75.0,,,,,
1324,502,108,5000.0,0.0,,,,,
1325,502,99,650.0,0.0,,,,,
1330,504,274,947.75,0.0,,,,,
1331,504,105,12.75,0.0,,,,,
1332,504,107,0.0,850.0,,,,,
1333,504,100,0.0,110.5,,,,,
1334,504,277,500.0,0.0,,,,,
1335,504,276,0.0,500.0,,,,,
1339,505,100,0.0,110.5,,,,,
1340,505,277,500.0,0.0,,,,,
1341,505,276,0.0,500.0,,,,,
1342,506,274,960.5,0.0,,,,,
1343,506,107,0.0,850.0,,,,,
1344,506,100,0.0,110.5,,,,,
1345,506,277,500.0,0.0,,,,,
1346,506,276,0.0,500.0,,,,,
1347,507,274,948.75,0.0,,,,,
1348,507,1081,14.25,0.0,,,,,
1349,507,107,0.0,850.0,,,,,
1350,507,123,0.0,100.0,,,,,
1351,507,100,0.0,13.0,,,,,
1352,508,1048,0.0,6000.0,,,,,
1353,508,105,0.0,150.0,,,,,
1354,508,108,5500.0,0.0,,,,,
1355,508,99,650.0,0.0,,,,,
1356,509,1048,0.0,350000.0,,,,,
1357,509,108,350000.0,0.0,,,,,
1358,510,274,100000.0,0.0,,,,,
1359,510,107,0.0,100000.0,,,,,
1360,511,104,0.0,56000.0,,,,,
1361,511,105,0.0,200.0,,,,,
1362,511,113,0.0,19800.0,,,,,
1363,511,113,73000.0,0.0,2.0,,,,
1364,511,1118,3000.0,0.0,2.0,,,,
1365,512,104,0.0,56000.0,,,,,
1366,512,105,0.0,200.0,,,,,
1367,512,113,0.0,19800.0,,,,,
1368,512,113,73000.0,0.0,2.0,,,,
1369,512,1118,3000.0,0.0,2.0,,,,
1370,513,104,0.0,6000.0,,,,,
1371,513,105,0.0,50.0,,,,,
1372,513,113,0.0,4950.0,,,,,
1373,513,113,8000.0,0.0,2.0,,,,
1374,513,1118,3000.0,0.0,2.0,,,,
1375,514,500,0.0,555.0,,,,,
1376,514,105,0.0,10.0,,,,,
1377,514,108,500.0,0.0,,,,,
1378,514,99,65.0,0.0,,,,,
1379,515,1123,0.0,5650.0,,,,,
1380,515,108,5000.0,0.0,,,,,
1381,515,99,650.0,0.0,,,,,
1382,516,1123,0.0,5650.0,,,,,
1383,516,108,5000.0,0.0,,,,,
1384,516,99,650.0,0.0,,,,,
1385,517,274,5593.5,0.0,,,,,
1386,517,274,0.0,5593.5,,,,,
1387,517,96,5593.5,0.0,,,,,
1388,517,107,0.0,4950.0,,,,,
1389,517,100,0.0,643.5,,,,,
1390,517,277,2500.0,0.0,,,,,
1391,517,276,0.0,2500.0,,,,,
1407,518,113,50000.0,0.0,2.0,,salary,,
1408,518,1120,0.0,40000.0,,,salary,,2.0
1409,518,1120,0.0,10000.0,,,salary,,8.0
1422,519,113,30000.0,0.0,2.0,,salary,,
1423,519,1120,0.0,15000.0,,,salary,,2.0
1424,519,1120,0.0,15000.0,,,salary,,8.0
1425,520,1120,15000.0,0.0,,,paid,,2.0
1426,520,668,0.0,15000.0,,,cheq,,2.0
