id,document_id,message,created_at
1,1,Document uploaded.,2026-04-15 04:55:26.071787+00:00
2,1,AI extraction failed: Failed to extract document data using AI.,2026-04-15 04:58:42.575543+00:00
3,1,AI extraction failed: Failed to extract document data using AI.,2026-04-15 05:03:46.096961+00:00
4,2,Document uploaded.,2026-04-15 06:17:36.454462+00:00
5,3,Document uploaded.,2026-04-15 08:22:31.916058+00:00
6,3,AI extraction failed: Failed to extract document data using AI.,2026-04-15 08:22:42.897180+00:00
7,4,Document uploaded.,2026-04-23 08:52:45.790801+00:00
8,4,AI extraction failed: Failed to extract document data using AI.,2026-04-23 08:53:06.903530+00:00
