id,company_id,name,code,description,is_active,created_by_id,updated_by_id,created_at,updated_at
1,6,i5 Laptop,,,True,,,2025-11-28 22:09:11.290044+00:00,2025-11-28 22:09:11.290048+00:00
2,6,i7 Laptop,,,True,,,2025-11-28 22:09:26.398967+00:00,2025-11-28 22:09:26.398972+00:00
3,6,Service,S001,For selling any service,True,,,2025-12-09 10:29:39.483341+00:00,2025-12-09 10:29:39.483349+00:00
4,24,Keyboard,KB-01,,True,,,2025-12-12 09:13:27.053982+00:00,2025-12-12 09:13:27.053994+00:00
5,14,Service,SRV,,True,,,2025-12-14 11:49:13.118083+00:00,2025-12-14 11:49:13.118089+00:00
6,14,Wired,,,True,,,2026-02-23 23:56:26.249164+00:00,2026-02-23 23:56:26.249169+00:00
7,14,Wireless,,,True,,,2026-02-23 23:56:31.409682+00:00,2026-02-23 23:56:31.409687+00:00
8,14,Fixed Assets,FA,,True,,,2026-02-28 04:13:48.902416+00:00,2026-02-28 04:13:48.902433+00:00
