id,company_id,name,code,category_id,description,is_active,created_by_id,updated_by_id,created_at,updated_at
1,6,6th Gen,GEN001,1,6th Generation,True,,,2025-11-28 22:25:48.468878+00:00,2025-11-28 22:25:48.468884+00:00
2,6,8th Gen,GEN 002,1,8th Gen,True,,,2025-11-28 22:26:30.823082+00:00,2025-11-28 22:26:30.823089+00:00
3,6,12th Gen,GEN003,2,12th Genaration,True,,,2025-11-28 22:27:01.824821+00:00,2025-11-28 22:27:01.824826+00:00
6,14,Computer,Comp,8,,True,,,2026-02-28 04:17:35.910888+00:00,2026-02-28 04:17:35.910897+00:00
5,14,CAR,4W,8,,True,,,2026-02-28 04:16:44.261462+00:00,2026-02-28 04:18:39.519530+00:00
4,14,Bike,Bike,8,,True,,,2026-02-28 04:16:11.711271+00:00,2026-02-28 04:18:56.176798+00:00
